Date,Open,High,Low,Close,Volume
3/1/2018 16:00:00,93.99,94.57,91.84,92.85,37135561
3/2/2018 16:00:00,91.58,93.15,90.86,93.05,32830389
3/5/2018 16:00:00,92.34,94.27,92.26,93.64,23901578
3/6/2018 16:00:00,94.34,94.49,92.94,93.32,22175776
3/7/2018 16:00:00,93.16,93.94,92.43,93.86,26716127
3/8/2018 16:00:00,94.27,95.1,93.77,94.43,25887828
3/9/2018 16:00:00,95.29,96.54,95,96.54,36937254
3/12/2018 16:00:00,96.5,97.21,96.04,96.77,26073742
3/13/2018 16:00:00,97,97.24,93.97,94.41,35387817
3/14/2018 16:00:00,95.12,95.41,93.5,93.85,32131981
3/15/2018 16:00:00,93.53,94.58,92.83,94.18,27610998
3/16/2018 16:00:00,94.68,95.38,93.92,94.6,49081279
3/19/2018 16:00:00,93.74,93.9,92.11,92.89,33344085
3/20/2018 16:00:00,93.05,93.77,93,93.13,23075240
3/21/2018 16:00:00,92.93,94.05,92.21,92.48,24457082
3/22/2018 16:00:00,91.27,91.75,89.66,89.79,38604715
3/23/2018 16:00:00,89.5,90.46,87.08,87.18,44068949
3/26/2018 16:00:00,90.61,94,90.4,93.78,56396780
3/27/2018 16:00:00,94.94,95.14,88.51,89.47,56569011
3/28/2018 16:00:00,89.82,91.23,88.87,89.39,52501146
3/29/2018 16:00:00,90.18,92.29,88.4,91.27,45867548
4/2/2018 16:00:00,90.47,90.88,87.51,88.52,48515417
4/3/2018 16:00:00,89.58,90.05,87.89,89.71,37213837
4/4/2018 16:00:00,87.85,92.76,87.73,92.33,35559956
4/5/2018 16:00:00,92.44,93.07,91.4,92.38,29771881
4/6/2018 16:00:00,91.49,92.46,89.48,90.23,38026000
4/9/2018 16:00:00,91.04,93.17,90.62,90.77,31533943
4/10/2018 16:00:00,92.39,93.28,91.64,92.88,26939883
4/11/2018 16:00:00,92.01,93.29,91.48,91.86,24872110
4/12/2018 16:00:00,92.43,94.16,92.43,93.58,26758879
4/13/2018 16:00:00,94.05,94.18,92.44,93.08,23346063
4/16/2018 16:00:00,94.07,94.66,93.42,94.17,20288083
4/17/2018 16:00:00,95,96.54,94.88,96.07,26771000
4/18/2018 16:00:00,96.22,96.72,95.52,96.44,21043287
4/19/2018 16:00:00,96.44,97.07,95.34,96.11,23552541
4/20/2018 16:00:00,95.91,96.11,94.05,95,31154377
4/23/2018 16:00:00,95.74,96.29,94.63,95.35,22331829
4/24/2018 16:00:00,96.24,96.47,92.41,93.12,34524799
4/25/2018 16:00:00,93.3,93.3,90.28,92.31,33729257
4/26/2018 16:00:00,93.55,95.15,93.1,94.26,42529043
4/27/2018 16:00:00,97.6,97.9,93.91,95.82,48272780
4/30/2018 16:00:00,96.33,96.4,93.15,93.52,41523605
5/1/2018 16:00:00,93.21,95.29,92.79,95,31408927
5/2/2018 16:00:00,94.99,95.17,93.19,93.51,27471002
5/3/2018 16:00:00,92.96,94.93,92.45,94.07,31142497
5/4/2018 16:00:00,93.32,95.37,92.92,95.16,22531325
5/7/2018 16:00:00,95.17,96.71,95.1,96.22,24242019
5/8/2018 16:00:00,95.85,96.16,95.06,95.81,23484589
5/9/2018 16:00:00,96.01,96.97,95.05,96.94,27327410
5/10/2018 16:00:00,97.46,97.95,97.05,97.91,22388119
5/11/2018 16:00:00,97.8,97.87,97.04,97.7,16778316
5/14/2018 16:00:00,97.92,98.69,97.31,98.03,19454124
5/15/2018 16:00:00,97.24,97.85,96.34,97.32,24594010
5/16/2018 16:00:00,97.36,97.4,96.62,97.15,17384742
5/17/2018 16:00:00,96.76,97.54,95.83,96.18,17246716
5/18/2018 16:00:00,96.01,96.93,96.01,96.36,17865840
5/21/2018 16:00:00,97,98.01,96.8,97.6,19422467
5/22/2018 16:00:00,97.68,98.17,97.2,97.5,15441189
5/23/2018 16:00:00,96.71,98.73,96.32,98.66,21251222
5/24/2018 16:00:00,98.73,98.94,96.81,98.31,26649287
